,unique_mos_id,shield_no,complaint_id,mos_ethnicity,mos_gender,mos_age_incident,complainant_ethnicity,complainant_gender,complainant_age_incident,fado_type,allegation,precinct,contact_reason,Substantiated
0,10004,8409,42835,Hispanic,M,32,Black,Female,38,Abuse of Authority,Failure to provide RTKA card,78,Report-domestic dispute,True
1,10007,5952,24601,White,M,24,Black,Male,26,Discourtesy,Action,67,Moving violation,True
2,10007,5952,24601,White,M,24,Black,Male,26,Offensive Language,Race,67,Moving violation,True
3,10007,5952,26146,White,M,25,Black,Male,45,Abuse of Authority,Question,67,PD suspected C/V of violation/crime - street,True
4,10009,24058,40253,Hispanic,F,39,,,16,Force,Physical force,67,Report-dispute,True
5,10012,4021,37256,Black,F,50,White,Male,31,Abuse of Authority,Refusal to process civilian complaint,78,C/V telephoned PCT,True
6,10014,4143,33969,White,M,43,White,Male,34,Offensive Language,Sexual orientation,78,PD suspected C/V of violation/crime - street,True
7,10017,15187,40070,Asian,M,34,Asian,Male,60,Discourtesy,Word,78,Moving violation,False
8,10017,15187,41927,Asian,M,35,Asian,Male,39,Abuse of Authority,Refusal to provide shield number,78,Moving violation,False
9,10017,15187,41927,Asian,M,35,Asian,Male,39,Abuse of Authority,Retaliatory summons,78,Moving violation,True
10,10018,4518,36984,White,M,35,Refused,Male,30,Abuse of Authority,Refusal to provide name/shield number,78,Other,True
11,10018,4518,36984,White,M,35,Refused,Male,30,Offensive Language,Sexual orientation,78,Other,False
12,10026,3185,35092,White,M,30,Black,Male,30,Abuse of Authority,Search (of person),79,Moving violation,False
13,10026,3185,26353,White,M,27,Black,Male,35,Force,Pepper spray,79,PD suspected C/V of violation/crime - street,False
14,10026,3185,27482,White,M,27,Black,Female,42,Force,Physical force,79,Regulatory inspection,False
15,10026,3185,27482,White,M,27,Black,Female,42,Offensive Language,Race,79,Regulatory inspection,False
16,10026,3185,27482,White,M,27,Black,Male,46,Force,Handcuffs too tight,79,Regulatory inspection,False
17,10026,3185,29270,White,M,28,Black,Male,34,Discourtesy,Word,79,PD suspected C/V of violation/crime - street,False
18,10026,3185,29270,White,M,28,Black,Female,30,Force,Physical force,79,PD suspected C/V of violation/crime - street,False
19,10026,3185,31069,White,M,29,Black,Male,23,Abuse of Authority,Frisk,79,Other,False
20,10026,3185,32450,White,M,29,Hispanic,Male,29,Abuse of Authority,Frisk,79,PD suspected C/V of violation/crime - street,True
21,10026,3185,32450,White,M,29,Hispanic,Male,29,Abuse of Authority,Question,79,PD suspected C/V of violation/crime - street,True
22,10026,3185,32450,White,M,29,Hispanic,Male,29,Abuse of Authority,Vehicle stop,79,PD suspected C/V of violation/crime - street,True
23,10026,3185,32450,White,M,29,Hispanic,Male,29,Abuse of Authority,Search (of person),79,PD suspected C/V of violation/crime - street,True
24,10026,3185,32450,White,M,29,Hispanic,Male,29,Abuse of Authority,Vehicle search,79,PD suspected C/V of violation/crime - street,True
25,10026,3185,32450,White,M,29,Hispanic,Male,29,Abuse of Authority,Refusal to provide name/shield number,79,PD suspected C/V of violation/crime - street,True
26,10026,3185,33608,White,M,30,Black,Male,35,Abuse of Authority,Vehicle stop,79,Moving violation,False
27,10026,3185,35092,White,M,30,Black,Male,30,Abuse of Authority,Vehicle stop,79,Moving violation,False
28,10026,3185,35092,White,M,30,Black,Male,30,Abuse of Authority,Vehicle search,79,Moving violation,False
29,10026,3185,35092,White,M,30,Black,Male,30,Abuse of Authority,Strip-searched,79,Moving violation,False
30,10026,3185,39110,White,M,32,Black,Female,29,Abuse of Authority,Refusal to provide name/shield number,67,Other violation of VTL,False
31,10026,3185,41125,White,M,33,Black,Male,28,Abuse of Authority,Threat of arrest,67,Moving violation,False
32,10026,3185,41125,White,M,33,Black,Male,28,Abuse of Authority,Search (of person),67,Moving violation,False
33,10026,3185,41125,White,M,33,Black,Male,28,Abuse of Authority,Vehicle stop,67,Moving violation,False
34,10026,3185,41125,White,M,33,Black,Male,28,Abuse of Authority,Frisk,67,Moving violation,True
35,10026,3185,41169,White,M,33,Black,Male,29,Abuse of Authority,Vehicle stop,67,Other violation of VTL,False
36,10026,3185,41178,White,M,33,Black,Male,60,Abuse of Authority,Vehicle stop,67,Moving violation,False
37,10026,3185,41178,White,M,33,Black,Male,60,Abuse of Authority,Failure to provide RTKA card,67,Moving violation,False
38,10028,833,21254,Black,M,29,Black,Male,22,Abuse of Authority,Threat of force (verbal or physical),79,Parking violation,True
39,10028,833,21254,Black,M,29,Black,Female,26,Abuse of Authority,Refusal to provide name/shield number,79,Parking violation,True
40,10028,833,21254,Black,M,29,Black,Male,22,Discourtesy,Word,79,Parking violation,True
41,10028,833,24891,Black,M,30,Black,Male,33,Abuse of Authority,Refusal to provide name/shield number,79,PD suspected C/V of violation/crime - street,False
